State,State (long),Industry Categories,Growth (%) 2013-2014,Growth ($) 2013-2014
DC,District of Columbia,Information Technology,6327.1021,69248780.63
DC,District of Columbia,Telecommunication Services,0,0
DE,Delaware,Consumer Sector,2609.1172,51285916.53
DE,Delaware,Energy,0,0
DE,Delaware,Financials,977.208,14204991
DE,Delaware,Health Care,134.5826,7692421.62
DE,Delaware,Industrials,1084.1921,356339770.8
DE,Delaware,Information Technology,2464.4095,37430357.45
DE,Delaware,Telecommunication Services,0,0
FL,Florida,Consumer Sector,53809.2866,1585587419
FL,Florida,Energy,393.2012,434052499.7
FL,Florida,Financials,11145.5431,865896573.8
FL,Florida,Health Care,50961.5656,337869391.2
FL,Florida,Industrials,28387.6216,1356573192
FL,Florida,Information Technology,24839.8359,613412401.7
FL,Florida,Telecommunication Services,2433.4483,104503029.3
GA,Georgia,Consumer Sector,10494.8385,456147573
GA,Georgia,Energy,3251.1265,35335956.97
GA,Georgia,Financials,6320.2704,256856062.3
GA,Georgia,Health Care,4916.7638,310355182.6
GA,Georgia,Industrials,15272.6232,991710506.9
GA,Georgia,Information Technology,16701.1301,1271584725
GA,Georgia,Telecommunication Services,1730.4368,165599102.1
HI,Hawaii,Consumer Sector,0,0
HI,Hawaii,Energy,1386.6857,48406057.2
HI,Hawaii,Financials,265.0319,4052942.007
HI,Hawaii,Health Care,12127.9133,20277871
HI,Hawaii,Industrials,65.3897,5624172.408
HI,Hawaii,Information Technology,0,0
HI,Hawaii,Telecommunication Services,0,0
IA,Iowa,Consumer Sector,425.0064,35507005.4
IA,Iowa,Energy,6020.9548,20553011
IA,Iowa,Financials,211.6154,648224314.9
IA,Iowa,Health Care,648.7035,31216463.51
IA,Iowa,Industrials,2100.8872,116894310.8
IA,Iowa,Information Technology,610.5839,34102217.28
IA,Iowa,Telecommunication Services,192.5001,25947349.92
ID,Idaho,Consumer Sector,1524.6389,244436597.3
ID,Idaho,Energy,0,0
ID,Idaho,Financials,68.3756,2958121.57
ID,Idaho,Health Care,281.8361,5343546.15
ID,Idaho,Industrials,3567.3762,42468483.88
ID,Idaho,Information Technology,261.9864,73206874.07
ID,Idaho,Telecommunication Services,151.568,15797565.34
IL,Illinois,Consumer Sector,21809.1075,2103620365
IL,Illinois,Energy,0,0
IL,Illinois,Financials,11014.0285,570873587.9
IL,Illinois,Health Care,5488.2639,338366552.7
IL,Illinois,Industrials,23329.596,3417858760
IL,Illinois,Information Technology,23628.2703,738145533.4
IL,Illinois,Telecommunication Services,3036.5762,129607281.3
IN,Indiana,Consumer Sector,6066.0999,97299445.93
IN,Indiana,Energy,53.3651,7453433.397
IN,Indiana,Financials,4138.3536,120819833.1
IN,Indiana,Health Care,853.7055,90353630.45
IN,Indiana,Industrials,17478.0539,1423837509
IN,Indiana,Information Technology,3741.8247,102057216
IN,Indiana,Telecommunication Services,128.1251,377385534.5
KS,Kansas,Consumer Sector,3901.8606,183385627.6
KS,Kansas,Energy,0,0
KS,Kansas,Financials,1279.1236,46047358.35
KS,Kansas,Health Care,2548.8537,92293870.27
KS,Kansas,Industrials,17369.7167,368982981.6
KS,Kansas,Information Technology,1987.3831,82960319.4
KS,Kansas,Telecommunication Services,202.6498,3452664.738
KY,Kentucky,Consumer Sector,2971.4429,163593084.5
KY,Kentucky,Energy,0,0
KY,Kentucky,Financials,128.2374,5579016.92
KY,Kentucky,Health Care,237.6666,4246571.793
KY,Kentucky,Industrials,4076.6086,298913866.1
KY,Kentucky,Information Technology,1095.7035,106500199.3
KY,Kentucky,Telecommunication Services,372.916,8895181.388
LA,Louisiana,Consumer Sector,1675.9592,57756617.03
LA,Louisiana,Energy,1343.7459,61880361.04
LA,Louisiana,Financials,1341.0826,48079568.33
LA,Louisiana,Health Care,0,0
LA,Louisiana,Industrials,17241.0349,186091517.2
LA,Louisiana,Information Technology,1109.0463,23772041
LA,Louisiana,Telecommunication Services,296.3839,12205093.49
MA,Massachusetts,Consumer Sector,23476.4035,1908969191
MA,Massachusetts,Energy,8777.7172,170627087.7
MA,Massachusetts,Financials,1076.2911,40034090.69
MA,Massachusetts,Health Care,3344.1508,364749923.7
MA,Massachusetts,Industrials,10761.0592,635460852.7
MA,Massachusetts,Information Technology,17664.7514,617282481.6
MA,Massachusetts,Telecommunication Services,21393.5669,447219769.3
MD,Maryland,Consumer Sector,10537.5259,238656008.3
MD,Maryland,Energy,0,0
MD,Maryland,Financials,1185.454,57157211.7
MD,Maryland,Health Care,2432.2961,140452859.7
MD,Maryland,Industrials,18062.52,693674140.7
MD,Maryland,Information Technology,13203.1704,438074906.6
MD,Maryland,Telecommunication Services,57.8678,7093698.874
ME,Maine,Consumer Sector,664.4963,11364887.85
ME,Maine,Energy,19876.5169,137286506
ME,Maine,Financials,310.0133,13520671.17
ME,Maine,Health Care,227.777,22833293.16
ME,Maine,Industrials,991.9592,35611621.98
ME,Maine,Information Technology,1102.1529,26396752.84
ME,Maine,Telecommunication Services,553.0304,8837182.07
MI,Michigan,Consumer Sector,3892.4667,156956387.2
MI,Michigan,Energy,338.773,220974251.2
MI,Michigan,Financials,15179.6121,479476861.9
MI,Michigan,Health Care,476.6715,1109353439
MI,Michigan,Industrials,7659.3514,1320080570
MI,Michigan,Information Technology,19523.3973,559792425.4
MI,Michigan,Telecommunication Services,711.277,219711138.5
MN,Minnesota,Consumer Sector,4066.7369,184479690.8
MN,Minnesota,Energy,641.6568,125707647.9
MN,Minnesota,Financials,4333.9003,78822939.95
MN,Minnesota,Health Care,1823.2501,1408185232
MN,Minnesota,Industrials,8043.0288,639861504.7
MN,Minnesota,Information Technology,5889.9017,282444523.3
MN,Minnesota,Telecommunication Services,364.1032,25839482.41
MO,Missouri,Consumer Sector,12937.9445,461908666.1
MO,Missouri,Energy,0,0
MO,Missouri,Financials,5851.5736,142050073.3
MO,Missouri,Health Care,358.1888,8476026.064
MO,Missouri,Industrials,6572.0886,399227218
MO,Missouri,Information Technology,4741.0696,98866450.91
MO,Missouri,Telecommunication Services,312.4619,18570848.41
MS,Mississippi,Consumer Sector,0,0
MS,Mississippi,Energy,0,0
MS,Mississippi,Financials,527.3071,66773293.94
MS,Mississippi,Health Care,523.2859,32266506.48
MS,Mississippi,Industrials,3854.9292,139648264
MS,Mississippi,Information Technology,224.361,22527344.82
MS,Mississippi,Telecommunication Services,0,0
MT,Montana,Consumer Sector,112.6667,7525142.809
MT,Montana,Energy,297.0451,2016544.033
MT,Montana,Financials,1373.7533,5234000.005
MT,Montana,Health Care,0,0
MT,Montana,Industrials,0,0
MT,Montana,Information Technology,118.1846,1183805.229
MT,Montana,Telecommunication Services,0,0
NC,North Carolina,Consumer Sector,21242.9185,299733892.6
NC,North Carolina,Energy,16402.6759,175172786.4
NC,North Carolina,Financials,2891.3021,423881963.3
NC,North Carolina,Health Care,3165.1503,308222212
NC,North Carolina,Industrials,15913.6374,1269271691
NC,North Carolina,Information Technology,9754.9607,464016729.5
NC,North Carolina,Telecommunication Services,0,0
ND,North Dakota,Consumer Sector,300.229,23748794.66
ND,North Dakota,Energy,0,0
ND,North Dakota,Financials,0,0
ND,North Dakota,Health Care,195.7347,50978111.87
ND,North Dakota,Industrials,148.0427,9181988.889
ND,North Dakota,Information Technology,174.4418,3671999.96
ND,North Dakota,Telecommunication Services,0,0
NE,Nebraska,Consumer Sector,1182.0496,66695871.01
NE,Nebraska,Energy,0,0
NE,Nebraska,Financials,679.278,77516705.46
NE,Nebraska,Health Care,634.2708,170477172.3
NE,Nebraska,Industrials,847.3127,55123358.4
NE,Nebraska,Information Technology,2189.4294,57518158.17
NE,Nebraska,Telecommunication Services,676.9298,6683957.059
NH,New Hampshire,Consumer Sector,376.8486,38007250.04
NH,New Hampshire,Energy,0,0
NH,New Hampshire,Financials,573.9633,298046442.9
NH,New Hampshire,Health Care,176.7388,135182195.1
NH,New Hampshire,Industrials,3800.5289,295002210.1
NH,New Hampshire,Information Technology,385.2639,29376041.89
NH,New Hampshire,Telecommunication Services,473.2331,1652884.984
NJ,New Jersey,Consumer Sector,14817.5082,519590107.4
NJ,New Jersey,Energy,824.0932,49469523.96
NJ,New Jersey,Financials,10200.8566,629680046.3
NJ,New Jersey,Health Care,2202.4923,85383341.08
NJ,New Jersey,Industrials,14187.1969,1643493218
NJ,New Jersey,Information Technology,22721.7423,523796008.2
NJ,New Jersey,Telecommunication Services,1254.0911,30489329.21
NM,New Mexico,Consumer Sector,790.275,1865949.99
NM,New Mexico,Energy,0,0
NM,New Mexico,Financials,0,0
NM,New Mexico,Health Care,0,0
NM,New Mexico,Industrials,1602.234,9282203.967
NM,New Mexico,Information Technology,2514.3684,23053405.88
NM,New Mexico,Telecommunication Services,0,0
NV,Nevada,Consumer Sector,5644.3232,60210881.19
NV,Nevada,Energy,0,0
NV,Nevada,Financials,958.8738,20850318.97
NV,Nevada,Health Care,528.4433,13811531.08
NV,Nevada,Industrials,1143.0602,131947601.2
NV,Nevada,Information Technology,308.7356,42454546.51
NV,Nevada,Telecommunication Services,1825.0104,14299506.74
NY,New York,Consumer Sector,90828.5959,1762659584
NY,New York,Energy,5819.3215,103191088.4
NY,New York,Financials,8834.7716,592709522.4
NY,New York,Health Care,7471.4153,651733046.6
NY,New York,Industrials,27503.9972,1880433903
NY,New York,Information Technology,19967.6857,904615893.1
NY,New York,Telecommunication Services,3419.5541,377604942.1
OH,Ohio,Consumer Sector,10810.7226,143023421.9
OH,Ohio,Energy,2759.9581,344928319.9
OH,Ohio,Financials,14764.0767,252850638
OH,Ohio,Health Care,7861.4584,2828773792
OH,Ohio,Industrials,10514.5569,2150723950
OH,Ohio,Information Technology,6731.6346,403103014.8
OH,Ohio,Telecommunication Services,312.3635,10507904.79
OK,Oklahoma,Consumer Sector,967.6299,42127476.6
OK,Oklahoma,Energy,202.1415,346526623
OK,Oklahoma,Financials,1746.3032,61232238.77
OK,Oklahoma,Health Care,0,0
OK,Oklahoma,Industrials,4738.9755,398263075.1
OK,Oklahoma,Information Technology,6057.7478,23525929.67
OK,Oklahoma,Telecommunication Services,0,0
OR,Oregon,Consumer Sector,27334.8883,251314587.5
OR,Oregon,Energy,0,0
OR,Oregon,Financials,1819.7554,66341025.32
OR,Oregon,Health Care,101.9166,3518347.772
OR,Oregon,Industrials,1507.5366,201807155.7
OR,Oregon,Information Technology,8737.0844,218400703.7
OR,Oregon,Telecommunication Services,505.7771,243967020
PA,Pennsylvania,Consumer Sector,23726.5764,451230273.8
PA,Pennsylvania,Energy,380.2904,60526124.16
PA,Pennsylvania,Financials,12846.0631,954891604.7
PA,Pennsylvania,Health Care,4971.5439,264656350.6
PA,Pennsylvania,Industrials,20179.6281,836323307.5
PA,Pennsylvania,Information Technology,9401.5883,377686527.1
PA,Pennsylvania,Telecommunication Services,195.8624,6949082.133
PR,Puerto Rico,Consumer Sector,0,0
PR,Puerto Rico,Energy,0,0
PR,Puerto Rico,Financials,0,0
PR,Puerto Rico,Health Care,0,0
PR,Puerto Rico,Industrials,183.5322,14887350.08
PR,Puerto Rico,Information Technology,77.2247,912303.1469
PR,Puerto Rico,Telecommunication Services,0,0
RI,Rhode Island,Consumer Sector,5438.131,234986077.2
RI,Rhode Island,Energy,4765.1276,29771427.94
RI,Rhode Island,Financials,47.4501,9172592.401
RI,Rhode Island,Health Care,274.4945,7890490.702
RI,Rhode Island,Industrials,952.8643,24933979.24
RI,Rhode Island,Information Technology,619.826,50988679.4
RI,Rhode Island,Telecommunication Services,54.2115,123056925.7
SC,South Carolina,Consumer Sector,7011.6986,163925292.3
SC,South Carolina,Energy,0,0
SC,South Carolina,Financials,1161.8157,13144127.41
SC,South Carolina,Health Care,596.3257,77976491.03
SC,South Carolina,Industrials,4439.1879,402876275.1
SC,South Carolina,Information Technology,3758.1512,139976035.7
SC,South Carolina,Telecommunication Services,0,0
SD,South Dakota,Consumer Sector,409.9096,2345392.011
SD,South Dakota,Energy,0,0
SD,South Dakota,Financials,80.1609,1186546.251
SD,South Dakota,Health Care,0,0
SD,South Dakota,Industrials,0,0
SD,South Dakota,Information Technology,0,0
SD,South Dakota,Telecommunication Services,0,0
TN,Tennessee,Consumer Sector,2982.5162,962983112
TN,Tennessee,Energy,86.5446,1920130226
TN,Tennessee,Financials,1901.2122,215843018.6
TN,Tennessee,Health Care,5019.3406,282316707
TN,Tennessee,Industrials,5773.2638,426314935.9
TN,Tennessee,Information Technology,5645.9602,189780986.2
TN,Tennessee,Telecommunication Services,0,0
TX,Texas,Consumer Sector,33650.9822,2894854870
TX,Texas,Energy,8800.0902,6832283337
TX,Texas,Financials,28808.1317,1462617660
TX,Texas,Health Care,9147.5628,844878347
TX,Texas,Industrials,50984.1072,2743055523
TX,Texas,Information Technology,40462.5241,1021313818
TX,Texas,Telecommunication Services,6280.3857,1438535401
UT,Utah,Consumer Sector,13906.8614,395736929.1
UT,Utah,Energy,0,0
UT,Utah,Financials,6693.0281,308732976.4
UT,Utah,Health Care,13322.4419,251571228.6
UT,Utah,Industrials,10769.8497,758233066.6
UT,Utah,Information Technology,3144.4678,79993304.11
UT,Utah,Telecommunication Services,484.1157,47114430.19
VA,Virginia,Consumer Sector,20089.6602,770882486.5
VA,Virginia,Energy,733.9883,78066999.47
VA,Virginia,Financials,7157.1794,209549719.1
VA,Virginia,Health Care,7942.1514,70475395.83
VA,Virginia,Industrials,121185.4976,2720868442
VA,Virginia,Information Technology,30716.915,1533906031
VA,Virginia,Telecommunication Services,3741.124,158270960.7
VT,Vermont,Consumer Sector,575.0775,10010144
VT,Vermont,Energy,0,0
VT,Vermont,Financials,0,0
VT,Vermont,Health Care,0,0
VT,Vermont,Industrials,50.2924,10982046.08
VT,Vermont,Information Technology,59.3865,23681799.92
VT,Vermont,Telecommunication Services,0,0
WA,Washington,Consumer Sector,10207.9863,441444347
WA,Washington,Energy,1609.2381,27068457.15
WA,Washington,Financials,2200.1851,52458466.22
WA,Washington,Health Care,5122.6782,173156615.9
WA,Washington,Industrials,5876.4749,257096593
WA,Washington,Information Technology,9842.91,312525240.8
WA,Washington,Telecommunication Services,1149.4578,14297289.04
WI,Wisconsin,Consumer Sector,6093.7505,194097157.1
WI,Wisconsin,Energy,658.1027,9761644.668
WI,Wisconsin,Financials,587.5576,52153921.19
WI,Wisconsin,Health Care,12489.4523,111983774.3
WI,Wisconsin,Industrials,4417.7616,2077103780
WI,Wisconsin,Information Technology,6644.7024,175303447.8
WI,Wisconsin,Telecommunication Services,97.5444,1502950.726
WV,West Virginia,Consumer Sector,64.1135,5478018.613
WV,West Virginia,Energy,0,0
WV,West Virginia,Financials,0,0
WV,West Virginia,Health Care,0,0
WV,West Virginia,Industrials,2190.9228,13625702.21
WV,West Virginia,Information Technology,0,0
WV,West Virginia,Telecommunication Services,0,0
