Name,Handedness,Height,Weight,Batting Average,Home Runs,Weight Bin,
Joe Niekro,R,73,185,0.156,1,Medium,
Junior Moore,R,71,185,0.264,7,Medium,
Chris Brown,R,72,185,0.269,38,Medium,
Denny McLain,R,73,185,0.133,1,Medium,
Billy Smith,B,74,185,0.23,17,Medium,
Manny Jimenez,L,73,185,0.272,26,Medium,
Mike Champion,R,72,185,0.229,2,Medium,
Lou Clinton,R,73,185,0.247,65,Medium,
Tim Cullen,R,73,185,0.22,9,Medium,
Rick Bosetti,R,71,185,0.25,17,Medium,
Ron Pruitt,R,72,185,0.269,12,Medium,
Jim Mason,L,74,185,0.203,12,Medium,
Leon Durham,L,73,185,0.277,147,Medium,
Tom Makowski,R,71,185,0,0,Medium,
Duane Walker,L,72,185,0.229,24,Medium,
Gary Matthews,R,74,185,0.281,234,Medium,
Fred Lynn,L,73,185,0.283,306,Medium,
Joe Keough,L,72,185,0.246,9,Medium,
Vic Correll,R,70,185,0.229,29,Medium,
Gary Mielke,R,75,185,0,0,Medium,
Terry Humphrey,R,75,185,0.211,6,Medium,
Tom Gilles,R,73,185,0,0,Medium,
Ron Hodges,L,73,185,0.24,19,Medium,
Gary Woods,R,74,185,0.243,13,Medium,
Joe Pactwa,L,71,185,0,0,Medium,
Gary Allenson,R,71,185,0.221,19,Medium,
Ron Musselman,R,74,185,0,0,Medium,
Roy Smalley,B,73,185,0.257,163,Medium,
Gary Ignasiak,R,71,185,0,0,Medium,
Pete Ward,L,73,185,0.254,98,Medium,
Billy North,B,71,185,0.261,20,Medium,
Frank Fernandez,R,72,185,0.199,39,Medium,
Ray Webster,L,72,185,0.244,17,Medium,
Bobby Mitchell,R,75,185,0.235,21,Medium,
Rob Woodward,R,75,185,0,0,Medium,
Rick Kreuger,R,74,185,0,0,Medium,
Juan Marichal,R,72,185,0.165,4,Medium,
Rob Picciolo,R,74,185,0.234,17,Medium,
Randy Wiles,L,73,185,0,0,Medium,
John Milner,L,72,185,0.249,131,Medium,
Rich Reese,L,75,185,0.253,52,Medium,
Bill Buckner,L,72,185,0.289,174,Medium,
Paul Dade,R,73,185,0.27,10,Medium,
Rich McKinney,R,71,185,0.225,20,Medium,
Jeff Twitty,L,74,185,0,0,Medium,
Jim Gosger,L,71,185,0.226,30,Medium,
Chuck Harrison,R,70,185,0.238,17,Medium,
Alfredo Martinez,R,75,185,0,0,Medium,
Willie Upshaw,L,72,185,0.262,123,Medium,
John Denny,R,75,185,0.17,0,Medium,
Ken Retzer,L,72,185,0.264,14,Medium,
Ron Oester,B,74,185,0.265,42,Medium,
Luis Aponte,R,72,185,0,0,Medium,
Ray Knight,R,73,185,0.271,84,Medium,
Daryl Smith,R,76,185,0,0,Medium,
Dave Stapleton,L,73,185,0,0,Medium,
Mike Kinnunen,L,73,185,0,0,Medium,
Chico Escarrega,R,71,185,0,0,Medium,
Frank Eufemia,R,71,185,0,0,Medium,
Jerry Zimmerman,R,74,185,0.204,3,Medium,
Cleon Jones,R,72,185,0.281,93,Medium,
Ron Stone,L,74,185,0.241,6,Medium,
Pat Kelly,L,73,185,0.264,76,Medium,
Bob Davidson,R,72,185,0,0,Medium,
Brian Snyder,L,75,185,0,0,Medium,
Max Alvis,R,71,185,0.247,111,Medium,
Jeff Richardson,R,75,185,0,0,Medium,
Bruce Miller,R,73,185,0.246,1,Medium,
Stan Thomas,R,74,185,0,0,Medium,
Joe Pepitone,L,74,185,0.258,219,Medium,
Norm Miller,L,70,185,0.238,24,Medium,
Rich Wortham,R,72,185,0,0,Medium,
Mickey Stanley,R,73,185,0.248,117,Medium,
Phil Bradley,R,72,185,0.286,78,Medium,
Ralph Garr,L,71,185,0.306,75,Medium,
Alex Sanchez,R,74,185,0,0,Medium,
Bob Brower,R,71,185,0.242,17,Medium,
Alan Ashby,B,74,185,0.245,90,Medium,
Colby Ward,R,74,185,0,0,Medium,
Mike Squires,L,71,185,0.26,6,Medium,
Rob Andrews,R,72,185,0.251,3,Medium,
Daryl Sconiers,L,74,185,0.265,15,Medium,
Steve Ontiveros,B,72,185,0.274,24,Medium,
Dave McNally,R,71,185,0.133,9,Medium,
Roy Foster,R,72,185,0.253,45,Medium,
Denis Menke,R,72,185,0.25,101,Medium,
Fred Kendall,R,73,185,0.234,31,Medium,
Shawn Holman,R,74,185,0,0,Medium,
Jerry Grote,R,70,185,0.252,39,Medium,
Ron Cey,R,70,185,0.261,316,Medium,
Ellie Rodriguez,R,71,185,0.245,16,Medium,
Steve Nicosia,R,70,185,0.248,11,Medium,
Ted Savage,R,73,185,0.233,34,Medium,
Dwayne Murphy,L,73,185,0.246,166,Medium,
Larry Harlow,L,74,185,0.248,12,Medium,
Jerry Mumphrey,B,74,185,0.289,70,Medium,
Don Sutton,R,73,185,0.144,0,Medium,
Don Cooper,R,73,185,0,0,Medium,
Gary Sutherland,R,72,185,0.243,24,Medium,
John Kennedy,R,72,185,0.225,32,Medium,
Tony Conigliaro,R,75,185,0.264,166,Medium,
Ron Hunt,R,72,186,0.273,39,Medium,
Jim Nettles,L,72,186,0.22,16,Medium,
Rich Barnes,R,76,186,0,0,Medium,
Dave May,L,70,186,0.251,96,Medium,
Eric Soderholm,R,71,187,0.264,102,Medium,
Duffy Dyer,R,72,187,0.221,30,Medium,
John Vukovich,R,73,187,0.161,6,Medium,
Bombo Rivera,R,70,187,0.265,10,Medium,
Jose Morales,R,71,187,0.287,26,Medium,
Gary Gray,R,72,187,0.24,24,Medium,
Rich Yett,R,74,187,0,0,Medium,
Dan Driessen,L,71,187,0.267,153,Medium,
Dick Allen,R,71,187,0.292,351,Medium,
Chuck Porter,R,75,187,0,0,Medium,
Bobby Wine,R,73,187,0.215,30,Medium,
Bobby Cuellar,R,71,188,0,0,Medium,
Johnny Oates,L,71,188,0.25,14,Medium,
Mike Hegan,L,73,188,0.242,53,Medium,
Sam Bowens,R,73,188,0.223,45,Medium,
Steve Hovley,L,70,188,0.258,8,Medium,
Rick Renick,R,72,188,0.221,20,Medium,
Willie Stargell,L,74,188,0.282,475,Medium,
Darrel Chaney,B,74,188,0.217,14,Medium,
Johnny Lewis,L,73,189,0.227,22,Medium,
Bill Robinson,R,74,189,0.258,166,Medium,
Vida Blue,B,72,189,0.104,4,Medium,
Bobby Valentine,R,70,189,0.26,12,Medium,
Buck Martinez,R,70,190,0.225,58,Medium,
John Wockenfuss,R,72,190,0.262,86,Medium,
Eric Wilkins,R,73,190,0,0,Medium,
Tommie Reynolds,R,74,190,0.226,12,Medium,
Fred Whitfield,L,73,190,0.253,108,Medium,
Dick Ruthven,R,75,190,0.183,1,Medium,
Kevin Stanfield,L,72,190,0,0,Medium,
Merv Rettenmund,R,70,190,0.271,66,Medium,
Byron Browne,R,74,190,0.236,30,Medium,
Joe Azcue,R,72,190,0.252,50,Medium,
Jim Fairey,L,70,190,0.235,7,Medium,
Albert Williams,R,76,190,0,0,Medium,
Ken McMullen,R,75,190,0.248,156,Medium,
Sal Butera,R,72,190,0.227,8,Medium,
Cito Gaston,R,75,190,0.256,91,Medium,
Dave Ford,R,76,190,0,0,Medium,
Ron Santo,R,72,190,0.277,342,Medium,
Andy Etchebarren,R,73,190,0.235,49,Medium,
Bob Didier,B,72,190,0.229,0,Medium,
Bruce Robbins,L,73,190,0,0,Medium,
Nate Colbert,R,74,190,0.243,173,Medium,
Phil Roof,R,74,190,0.215,43,Medium,
Ken Gerhart,R,72,190,0.221,24,Medium,
T.R. Bryden,R,76,190,0,0,Medium,
Mike Darr,R,76,190,0,0,Medium,
Duane Josephson,R,72,190,0.258,23,Medium,
Roger Freed,R,72,190,0.245,22,Medium,
Mike Easler,L,72,190,0.293,118,Medium,
Thurman Munson,R,71,190,0.292,113,Medium,
Mark Brown,B,74,190,0,0,Medium,
Bobby Brown,B,74,190,0.245,26,Medium,
Rusty Staub,L,74,190,0.279,292,Medium,
Larry Parrish,R,75,190,0.263,256,Medium,
Milt May,L,72,190,0.263,77,Medium,
Chris Cannizzaro,R,72,190,0.235,18,Medium,
Don Baylor,R,73,190,0.26,338,Medium,
Claudell Washington,L,72,190,0.278,164,Medium,
Joe Skalski,R,75,190,0,0,Medium,
Bert Bradley,B,73,190,0,0,Medium,
Steve Yeager,R,72,190,0.228,102,Medium,
Jim Northrup,L,75,190,0.267,153,Medium,
Art Howe,R,74,190,0.26,43,Medium,
Ike Brown,R,72,190,0.256,20,Medium,
Jesus Alou,R,74,190,0.28,32,Medium,
Steve Brye,R,72,190,0.258,30,Medium,
Bob Kearney,R,72,190,0.233,27,Medium,
Dave Duncan,R,74,190,0.214,109,Medium,
Jim Sundberg,R,72,190,0.248,95,Medium,
Bake McBride,L,74,190,0.299,63,Medium,
Dick Davis,R,75,190,0.265,27,Medium,
Bob Molinaro,L,72,190,0.264,14,Medium,
Alan Knicely,R,72,190,0.213,12,Medium,
Roger Weaver,R,75,190,0,0,Medium,
Steve Henderson,R,74,190,0.28,68,Medium,
Jack Hiatt,R,74,190,0.251,22,Medium,
Tommie Aaron,R,75,190,0.229,13,Medium,
Jim Gideon,R,75,190,0,0,Medium,
Jerry May,R,74,190,0.234,15,Medium,
Bobby Clark,R,72,190,0.239,19,Medium,
Greg Erardi,R,73,190,0,0,Medium,
Ned Yost,R,73,190,0.212,16,Medium,
Roger Repoz,L,75,190,0.224,82,Medium,
Larry Anderson,R,75,190,0,0,Medium,
Johnny Briggs,L,73,190,0.253,139,Medium,
Al Woods,L,75,190,0.271,35,Medium,
John Hobbs,R,75,190,0,0,Medium,
Karl Best,R,76,190,0,0,Medium,
Barry Bonnell,R,75,190,0.272,56,Medium,
Bill Sudakis,B,73,190,0.234,59,Medium,
R.J. Reynolds,B,72,190,0.267,35,Medium,
Bob Uecker,R,73,190,0.2,14,Medium,
Mark Esser,R,73,190,0,0,Medium,
Dave Smith,R,73,190,0,0,Medium,
Tom Klawitter,R,74,190,0,0,Medium,
Larry Herndon,R,75,190,0.274,107,Medium,
Keith Moreland,R,72,190,0.279,121,Medium,
Mike Overy,R,74,190,0,0,Medium,
Craig Chamberlain,R,73,190,0,0,Medium,
Len Matuszek,L,74,190,0.234,30,Medium,
Jim Maloney,L,74,190,0.201,7,Medium,
Mike Paxton,R,71,190,0,0,Medium,
Chet Lemon,R,72,190,0.273,215,Medium,
Rickey Keeton,R,74,190,0,0,Medium,
Ted Uhlaender,L,74,190,0.263,36,Medium,
Rick Jones,L,77,190,0,0,Medium,
Jim Dorsey,R,79,190,0,0,Medium,
Sam McDowell,L,77,190,0.154,2,Medium,
Keith Macwhorter,R,76,190,0,0,Medium,
Doug DeCinces,R,74,190,0.259,237,Medium,
Roy Howell,L,73,190,0.261,80,Medium,
Sonny Siebert,R,75,190,0.173,12,Medium,
Bobby Darwin,R,74,190,0.251,83,Medium,
Dennis DeBarr,L,74,190,0,0,Medium,
Ed Ott,L,70,190,0.259,33,Medium,
Roger Slagle,R,75,190,0,0,Medium,
Terry Francona,L,73,190,0.274,16,Medium,
Joe Gaines,R,73,190,0.241,21,Medium,
Rick Lysander,R,74,190,0,0,Medium,
Mel Stottlemyre,R,72,190,0,0,Medium,
Tom Grieve,R,74,190,0.249,65,Medium,
Clay Dalrymple,L,72,190,0.233,55,Medium,
Fred Howard,R,75,190,0,0,Medium,
John Hoover,R,74,190,0,0,Medium,
Catfish Hunter,R,72,190,0.226,6,Medium,
Hank Allen,R,72,190,0.241,6,Medium,
Jim Fregosi,R,73,190,0.265,151,Medium,
Tom Dozier,R,74,190,0,0,Medium,
Bobby Bonds,R,73,190,0.268,332,Medium,
Jim Lewis,R,75,190,0,0,Medium,
Alan Wirth,R,76,190,0,0,Medium,
Jim Beauchamp,R,74,190,0.231,14,Medium,
Skip Jutze,R,71,190,0.215,3,Medium,
Butch Wynegar,B,73,190,0.255,65,Medium,
Gene Tenace,R,72,190,0.241,201,Medium,
Pete Mackanin,R,74,190,0.226,30,Medium,
Glenn Beckert,R,73,190,0.283,22,Medium,
Ken Harrelson,R,74,190,0.239,131,Medium,
Bill Plummer,R,73,190,0.188,14,Medium,
Buck Rodgers,B,74,190,0.232,31,Medium,
Floyd Rayford,R,70,190,0.244,38,Medium,
Dave Hilton,R,71,191,0.213,6,Medium,
Pete Rose,B,71,192,0.303,160,Medium,
Jim Hickman,R,75,192,0.252,159,Medium,
Bryan Oelkers,L,75,192,0,0,Medium,
Jim Price,R,72,192,0.214,18,Medium,
Steve Garvey,R,70,192,0.294,272,Medium,
Jody Davis,R,76,192,0.245,127,Medium,
Ed Hodge,L,74,192,0,0,Medium,
Rick Joseph,R,73,192,0.243,13,Medium,
Nardi Contreras,B,74,193,0,0,Medium,
Larry Hisle,R,74,193,0.273,166,Medium,
Rick Monday,L,75,193,0.264,241,Medium,
Tom Nieto,R,73,193,0.205,5,Medium,
Manny Sanguillen,R,72,193,0.296,65,Medium,
Darrell Porter,L,72,193,0.247,188,Medium,
Ted Simmons,B,71,193,0.285,248,Medium,
Les Straker,R,73,193,0,0,Medium,
Butch Hobson,R,73,193,0.248,98,Medium,
Jim Traber,L,72,194,0.227,27,Medium,
Ozzie Osborn,R,74,195,0,0,Medium,
Jeff Byrd,R,75,195,0,0,Medium,
Danny Walton,R,72,195,0.223,28,Medium,
Jack Billingham,R,76,195,0.111,0,Medium,
Jerry Garvin,L,75,195,0,0,Medium,
Jerry Ujdur,R,73,195,0,0,Medium,
Scot Thompson,L,75,195,0.262,5,Medium,
Chris Chambliss,L,73,195,0.279,185,Medium,
Kevin Bearse,L,74,195,0,0,Medium,
Dave McKay,B,73,195,0.229,21,Medium,
Ron Romanick,R,76,195,0,0,Medium,
Rick Rhoden,R,75,195,0.238,9,Medium,
Larry Haney,R,74,195,0.215,12,Medium,
Don Lock,R,74,195,0.238,122,Medium,
Chris Batton,R,76,195,0,0,Medium,
Ralph Botting,L,72,195,0,0,Medium,
Dave Roberts,L,75,195,0.194,7,Medium,
Sal Bando,R,72,195,0.254,242,Medium,
George Mitterwald,R,74,195,0.236,76,Medium,
George Hendrick,R,75,195,0.278,267,Medium,
Paul Mitchell,R,73,195,0,0,Medium,
Leroy Stanton,R,73,195,0.244,77,Medium,
Glenn Burke,R,72,195,0.237,2,Medium,
Bob Montgomery,R,73,195,0.258,23,Medium,
Al Oliver,L,72,195,0.303,219,Medium,
Doug Camilli,R,71,195,0.199,18,Medium,
Kevin Bell,R,72,195,0.222,13,Medium,
Danny Goodwin,L,73,195,0.236,13,Medium,
Bob Knepper,L,75,195,0.137,6,Medium,
John Hale,L,74,195,0.201,14,Medium,
Reggie Ritter,L,74,195,0,0,Medium,
Dick Dietz,R,73,195,0.261,66,Medium,
Ted Cox,R,75,195,0.245,10,Medium,
Dick Billings,R,73,195,0.227,16,Medium,
Bruce Bochte,L,75,195,0.282,100,Medium,
Chuck Hockenbery,B,73,195,0,0,Medium,
Joe Hague,L,72,195,0.239,40,Medium,
Ed Herrmann,L,73,195,0.24,80,Medium,
Jeff Schneider,B,75,195,0,0,Medium,
Mike Diaz,R,74,195,0.247,31,Medium,
Chris Knapp,R,77,195,0,0,Medium,
Chris Bando,B,72,195,0.227,27,Medium,
Nelson Mathews,R,76,195,0.223,22,Medium,
Jeff Peterek,R,74,195,0,0,Medium,
Jeff Shaver,R,75,195,0,0,Medium,
Jim Spencer,L,74,195,0.25,146,Medium,
Pete Filson,B,74,195,0,0,Medium,
Clint Hurdle,L,75,195,0.259,32,Medium,
Mike Andrews,R,75,195,0.258,66,Medium,
Charlie James,R,73,195,0.255,29,Medium,
Bob Horner,R,73,195,0.277,218,Medium,
Jim Essian,R,74,195,0.244,33,Medium,
Jim Farr,R,73,195,0,0,Medium,
Tucker Ashford,R,73,195,0.218,6,Medium,
Bill Fulton,R,75,195,0,0,Medium,
Bob Jones,L,74,195,0.221,20,Medium,
Richie Hebner,L,73,195,0.276,203,Medium,
Mike Brown,R,74,195,0.265,23,Medium,
Mike Brown,R,74,195,0,0,Medium,
Terry Harper,R,76,195,0.253,36,Medium,
Steve Davis,L,73,195,0,0,Medium,
Tom Seaver,R,73,195,0.154,12,Medium,
Jerry Martin,R,73,195,0.251,85,Medium,
Reggie Jackson,L,72,195,0.262,563,Medium,
Lee Thomas,L,74,195,0.255,106,Medium,
John Boccabella,R,73,195,0.219,26,Medium,
Curt Blefary,L,74,195,0.237,112,Medium,
Gary Ward,R,74,195,0.276,130,Medium,
Mike Pazik,L,74,195,0,0,Medium,
Tommie Agee,R,71,195,0.255,130,Medium,
Cap Peterson,R,74,195,0.23,19,Medium,
Bob Boone,R,74,195,0.254,105,Medium,
Steve Kemp,L,72,195,0.278,130,Medium,
Mike Hargrove,L,72,195,0.29,80,Medium,
Jim Burton,R,75,195,0,0,Medium,
Lee May,R,75,195,0.267,354,Medium,
Jeff Torborg,R,72,195,0.214,8,Medium,
Don Wilson,R,74,195,0.146,1,Medium,
Howard Bailey,R,72,195,0,0,Medium,
Rick Sofield,L,73,195,0.243,9,Medium,
Sandy Wihtol,R,73,195,0,0,Medium,
Gary Alexander,R,74,195,0.23,55,Medium,
Bob Robertson,R,73,195,0.242,115,Medium,
Steve Barber,L,72,195,0.115,5,Medium,
Russ Gibson,R,73,195,0.228,8,Medium,
Gorman Heimueller,L,76,195,0,0,Medium,
Mike Brumley,L,70,195,0.229,5,Medium,
Ivan Murrell,R,74,195,0.236,33,Medium,
Ron Blomberg,L,73,195,0.293,52,Medium,
Jim Rooker,R,72,195,0.201,7,Medium,
Mike Schmidt,R,74,195,0.267,548,Medium,
Tom Haller,L,76,195,0.257,134,Medium,
Ron Swoboda,R,74,195,0.242,73,Medium,
Mike Young,B,74,195,0.247,72,Medium,
Ed Kirkpatrick,L,71,195,0.238,85,Medium,
Bryan Kelly,R,74,195,0,0,Medium,
Mike Shannon,R,75,195,0.255,68,Medium,
Mike Jorgensen,L,72,195,0.243,95,Medium,
Gary Lance,B,75,195,0,0,Medium,
Darryl Motley,R,69,196,0.243,44,Medium,
Bob Chance,L,74,196,0.261,24,Medium,
Leron Lee,L,72,196,0.25,31,Medium,
Doug Frobel,L,76,196,0.201,20,Medium,
Gary Nolan,R,74,197,0.138,1,Medium,
Willie Crawford,L,73,197,0.268,86,Medium,
Terry Whitfield,L,73,197,0.281,33,Medium,
Al Cowens,R,73,197,0.27,108,Medium,
Woodie Fryman,R,75,197,0.138,2,Medium,
Duke Sims,L,74,197,0.239,100,Medium,
Johnny Bench,R,73,197,0.267,389,Medium,
Joe Lahoud,L,73,198,0.223,65,Medium,
George Vukovich,L,72,198,0.268,27,Medium,
Al Lachowicz,R,75,198,0,0,Medium,
Gail Hopkins,L,70,198,0.266,25,Medium,
Dick Bertell,R,72,200,0.25,10,Heavy,
Darrell Evans,L,74,200,0.248,414,Heavy,
Dave Skaggs,R,74,200,0.241,3,Heavy,
Jim Siwy,R,76,200,0,0,Heavy,
Bob Fallon,L,75,200,0,0,Heavy,
Jeffrey Leonard,R,74,200,0.266,144,Heavy,
Paul Hartzell,R,77,200,0,0,Heavy,
Jim Umbarger,L,78,200,0,0,Heavy,
Steve Burke,B,74,200,0,0,Heavy,
Billy Bryan,L,76,200,0.216,41,Heavy,
Rick Sweet,B,73,200,0.234,6,Heavy,
Jeff Burroughs,R,73,200,0.261,240,Heavy,
Carmen Fanzone,R,72,200,0.224,20,Heavy,
Nick Esasky,R,75,200,0.25,122,Heavy,
Andy Messersmith,R,73,200,0.17,5,Heavy,
Richie Zisk,R,73,200,0.287,207,Heavy,
Bill Fahey,L,72,200,0.241,7,Heavy,
Jerry Reuss,L,77,200,0.167,1,Heavy,
Ron Jackson,R,72,200,0.259,56,Heavy,
Bill Melton,R,74,200,0.253,160,Heavy,
Jeff Schattinger,L,77,200,0,0,Heavy,
George Scott,R,74,200,0.268,271,Heavy,
Pete LaCock,L,74,200,0.257,27,Heavy,
Carl Morton,R,72,200,0.156,7,Heavy,
Steve Cummings,B,74,200,0,0,Heavy,
Mickey Hatcher,R,74,200,0.28,38,Heavy,
Dean Chance,R,75,200,0.066,0,Heavy,
Deron Johnson,R,74,200,0.244,245,Heavy,
Steve Barr,L,76,200,0,0,Heavy,
Paul Boris,R,74,200,0,0,Heavy,
Jim Lonborg,R,77,200,0.136,3,Heavy,
Gary Christenson,L,77,200,0,0,Heavy,
Jack Lazorko,R,71,200,0,0,Heavy,
Mark Clear,R,76,200,0,0,Heavy,
Bill Nahorodny,R,74,200,0.241,25,Heavy,
Carl Taylor,R,74,200,0.266,10,Heavy,
Matt Williams,R,73,200,0,0,Heavy,
Jaime Cocanower,R,76,200,0,0,Heavy,
Roger Miller,R,75,200,0,0,Heavy,
Rico Carty,R,75,200,0.299,204,Heavy,
Hal King,L,73,200,0.214,24,Heavy,
Andre Thornton,R,75,200,0.254,253,Heavy,
Tom Buskey,R,75,200,0,0,Heavy,
Larry Monroe,R,76,200,0,0,Heavy,
Steve Brown,R,77,200,0,0,Heavy,
Leon Roberts,R,75,200,0.267,78,Heavy,
Ray Burris,R,77,200,0.151,1,Heavy,
Bob Forsch,R,76,200,0.213,12,Heavy,
Bill Schroeder,R,74,200,0.24,61,Heavy,
Carlos May,L,71,200,0.274,90,Heavy,
Doug Ault,R,75,200,0.236,17,Heavy,
Ray Culp,R,72,200,0.123,1,Heavy,
Al Ferrara,R,73,200,0.259,51,Heavy,
Rick Steirer,R,76,200,0,0,Heavy,
Hal Breeden,R,74,200,0.243,21,Heavy,
Mike Anderson,R,74,200,0.246,28,Heavy,
Dan Morogiello,L,73,200,0,0,Heavy,
Joe Rudi,R,74,200,0.264,179,Heavy,
Jim Rice,R,74,200,0.298,382,Heavy,
Ron LeFlore,R,72,200,0.288,59,Heavy,
Dick Nen,L,74,200,0.224,21,Heavy,
Jason Thompson,L,76,200,0.261,208,Heavy,
John Leister,R,74,200,0,0,Heavy,
Joe Ferguson,R,74,200,0.24,122,Heavy,
Bob Watson,R,72,201,0.295,184,Heavy,
Butch Edge,R,75,203,0,0,Heavy,
Mike Walters,R,77,203,0,0,Heavy,
Bill Freehan,R,75,203,0.262,200,Heavy,
Howie Goss,R,76,204,0.216,11,Heavy,
Steve Huntz,B,73,204,0.206,16,Heavy,
Mike Ryan,R,74,205,0.193,28,Heavy,
Brian Denman,R,76,205,0,0,Heavy,
Pat Putnam,L,72,205,0.255,63,Heavy,
Jerry Koosman,R,74,205,0.119,2,Heavy,
Steve Swisher,R,74,205,0.216,20,Heavy,
John Trautwein,R,75,205,0,0,Heavy,
Andy Replogle,R,77,205,0,0,Heavy,
Marc Hill,R,75,205,0.223,34,Heavy,
Ed Kranepool,L,75,205,0.261,118,Heavy,
Andy Beene,R,75,205,0,0,Heavy,
Gary Roenicke,R,75,205,0.247,121,Heavy,
Gary Beare,R,76,205,0,0,Heavy,
Vance Lovelace,L,77,205,0,0,Heavy,
Bob Tillman,R,76,205,0.232,79,Heavy,
Sherman Corbett,L,76,205,0,0,Heavy,
Larry Biittner,L,74,205,0.273,29,Heavy,
Bruce Bochy,R,75,205,0.239,26,Heavy,
Fergie Jenkins,R,77,205,0.165,13,Heavy,
Andy Kosco,R,75,205,0.236,73,Heavy,
Gary Wheelock,R,75,205,0,0,Heavy,
Mike Rochford,L,76,205,0,0,Heavy,
Don Welchel,R,76,205,0,0,Heavy,
Don Mincher,L,75,205,0.249,200,Heavy,
Mike Ivie,R,75,205,0.269,81,Heavy,
Frank Dimichele,R,75,205,0,0,Heavy,
Gaylord Perry,R,76,205,0.131,6,Heavy,
Joel Davis,L,77,205,0,0,Heavy,
Jerry Narron,L,75,205,0.211,21,Heavy,
Greg Walker,L,75,205,0.26,113,Heavy,
Jeff Rineer,L,76,205,0,0,Heavy,
Mitchell Page,L,74,205,0.266,72,Heavy,
Jim Wright,R,77,205,0,0,Heavy,
Alex Johnson,R,72,205,0.288,78,Heavy,
Wayne Nordhagen,R,74,205,0.282,39,Heavy,
Steve Senteney,R,74,205,0,0,Heavy,
Don Kainer,R,75,205,0,0,Heavy,
John Wathan,R,74,205,0.262,21,Heavy,
Mike Krukow,R,77,205,0.193,5,Heavy,
Barry Foote,R,75,205,0.23,57,Heavy,
Bob Oliver,R,75,205,0.256,94,Heavy,
Bob Galasso,L,73,205,0,0,Heavy,
Ellis Valentine,R,76,205,0.278,123,Heavy,
Champ Summers,L,74,205,0.255,54,Heavy,
Joe Charboneau,R,74,205,0.266,29,Heavy,
Mike Willis,L,74,205,0,0,Heavy,
Clay Christiansen,R,77,205,0,0,Heavy,
Jim Barr,R,75,205,0.162,1,Heavy,
Larry Pashnick,R,75,205,0,0,Heavy,
Cardell Camper,R,75,208,0,0,Heavy,
Doug Rader,R,74,208,0.251,155,Heavy,
Donn Clendenon,R,76,209,0.274,159,Heavy,
Ken Phelps,L,73,209,0.239,123,Heavy,
Willie Horton,R,71,209,0.273,325,Heavy,
Dave Kingman,R,78,210,0.236,442,Heavy,
Bud Anderson,R,75,210,0,0,Heavy,
Ken Singleton,B,76,210,0.282,246,Heavy,
Barry Cort,R,77,210,0,0,Heavy,
Mike Loynd,R,76,210,0,0,Heavy,
Wayne Gross,L,74,210,0.233,121,Heavy,
Dave Engle,R,75,210,0.262,31,Heavy,
Tony Solaita,L,72,210,0.255,50,Heavy,
Steve Adkins,R,78,210,0,0,Heavy,
Bill Moran,R,76,210,0,0,Heavy,
Bob Kammeyer,R,76,210,0,0,Heavy,
Bob Babcock,R,77,210,0,0,Heavy,
Glenn Borgmann,R,76,210,0.229,16,Heavy,
Burt Hooton,R,73,210,0.123,4,Heavy,
Gorman Thomas,R,74,210,0.225,268,Heavy,
Tony Cloninger,R,72,210,0.192,11,Heavy,
Tony Horton,R,75,210,0.268,76,Heavy,
Mike Parrott,R,76,210,0,0,Heavy,
Rick Anderson,R,74,210,0,0,Heavy,
Craig Kusick,R,75,210,0.235,46,Heavy,
John Bateman,R,75,210,0.23,81,Heavy,
Rick Reichardt,R,75,210,0.261,116,Heavy,
Len Gabrielson,L,76,210,0.253,37,Heavy,
Steve Carlton,L,76,210,0.201,13,Heavy,
Bob Brenly,R,74,210,0.247,91,Heavy,
Jerry Moses,R,75,210,0.251,25,Heavy,
Mark Brouhard,R,73,210,0.259,25,Heavy,
Terry Wilshusen,R,74,210,0,0,Heavy,
Jeff Jones,R,75,210,0,0,Heavy,
John Poloni,L,77,210,0,0,Heavy,
Dave Revering,L,76,210,0.265,62,Heavy,
Jeff Holly,L,77,210,0,0,Heavy,
Al Jones,R,76,210,0,0,Heavy,
Tim Laudner,R,75,212,0.225,77,Heavy,
Bob Veale,B,78,212,0.114,0,Heavy,
Joe Torre,R,74,212,0.297,252,Heavy,
Britt Burns,L,77,215,0,0,Heavy,
Jeff Newman,R,74,215,0.224,63,Heavy,
Larry Dierker,R,76,215,0.136,4,Heavy,
Mike Jones,L,78,215,0,0,Heavy,
Dave Roberts,R,75,215,0.239,49,Heavy,
Charlie Spikes,R,75,215,0.246,65,Heavy,
Randy Nosek,R,76,215,0,0,Heavy,
Mark Smith,R,74,215,0,0,Heavy,
Joe Foy,R,72,215,0.248,58,Heavy,
Tom Paciorek,R,76,215,0.282,86,Heavy,
Mike Smithson,L,80,215,0,0,Heavy,
John Mayberry,L,75,215,0.253,255,Heavy,
Lamar Johnson,R,74,215,0.287,64,Heavy,
Cliff Johnson,R,76,215,0.258,196,Heavy,
John Orsino,R,75,215,0.249,40,Heavy,
Dave Hostetler,R,76,215,0.229,37,Heavy,
Doc Edwards,R,74,215,0.238,15,Heavy,
Brant Alyea,R,75,215,0.247,38,Heavy,
Ray Fosse,R,74,215,0.256,61,Heavy,
Earl Williams,R,75,215,0.247,138,Heavy,
Ron Reed,R,78,215,0.158,0,Heavy,
Dave Nicholson,R,74,215,0.212,61,Heavy,
Sam Hinds,R,78,215,0,0,Heavy,
